case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
imgfifo-p038,0.01,0.02,0.02,0.06,0.02,0.01,0.02,0.03,0.02,0.02,2.0,2.0,1.0,0.33333333333333337,0.33333333333333337,1.0,2.0,1.0,2.0,1.0,0.6666666666666667,0.6666666666666667,1.0
vgasim_imgfifo-p047,0.01,0.04,0.04,0.09,0.04,0.01,0.04,0.04,0.04,0.1,4.0,4.0,1.0,0.4444444444444445,0.4444444444444445,1.0,4.0,1.0,4.0,1.0,1.0,1.0,0.39999999999999997
a16-p152,0.01,0.02,0.02,3.36,0.02,0.01,0.02,0.1,0.02,0.02,2.0,2.0,1.0,0.005952380952380953,0.005952380952380953,1.0,2.0,1.0,2.0,1.0,0.19999999999999998,0.19999999999999998,1.0
mentorbm1p08,0.07,0.51,0.53,0.88,0.36,0.3,0.71,0.33,0.49,0.33,7.285714285714286,7.571428571428571,0.9622641509433962,0.5795454545454546,0.6022727272727273,1.4166666666666667,1.7000000000000002,1.4722222222222223,1.7666666666666668,0.7183098591549296,1.5454545454545454,1.606060606060606,1.606060606060606
eijkS820,0.01,0.11,0.11,0.13,0.13,0.2,0.14,0.14,0.16,0.2,11.0,11.0,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5499999999999999,0.8461538461538461,0.5499999999999999,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5499999999999999
bobtuint20neg,0.0,0.02,0.02,0.04,0.02,0.01,0.02,0.02,0.02,0.02,inf,inf,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
bob12s04,3600.0,27.07,25.9,31.25,27.0,2171.77,28.7,30.18,26.42,19.05,0.007519444444444445,0.007194444444444444,1.0451737451737453,0.86624,0.8288,1.0025925925925927,0.012464487491769387,0.9592592592592593,0.011925756410669638,0.943205574912892,0.8969516235917827,0.8581842279655401,1.3595800524934383
h_RCU,3600.0,451.58,451.84,3600.0,94.07,300.58,3600.0,95.39,0.02,165.57,0.12543888888888888,0.1255111111111111,0.9994245750708215,0.12543888888888888,0.1255111111111111,4.800467736791751,1.5023620999401157,4.803231636015733,1.5032270942843835,0.12543888888888888,4.734039207464095,4.736764860048223,2.7289967989370054
yosyshq_appnote_123_cv32e40x-p681,0.1,0.91,1.1,16.08,1.02,0.47,1.0,0.98,0.93,1.15,9.1,11.0,0.8272727272727273,0.05659203980099503,0.06840796019900498,0.8921568627450981,1.9361702127659577,1.0784313725490198,2.340425531914894,0.91,0.9285714285714286,1.1224489795918369,0.9565217391304349
cal86,0.14,6.44,5.81,6.43,7.27,5.31,6.79,7.13,10.5,5.32,46.0,41.49999999999999,1.1084337349397593,1.0015552099533438,0.9035769828926905,0.8858321870701514,1.2128060263653486,0.7991746905089409,1.0941619585687383,0.9484536082474228,0.903225806451613,0.814866760168303,1.0921052631578947
