log_file,filename,full_aig_path,status,time,frame,sat_solving_time,sat_solving_percent,total_time
pdtvistictactoe09_log.txt,pdtvistictactoe09.aig,./hwmcc08/pdtvistictactoe09.aig,BUG,0.01,0,0.0,0.36,0.01
bobsm9234_log.txt,bobsm9234.aig,./hwmcc11/single/bobsm9234.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s421rb083_log.txt,6s421rb083.aig,./hwmcc14/single/6s421rb083.aig,PROVED,0.02,4,0.33,84.61,0.39
beemldfilt7b1_log.txt,beemldfilt7b1.aig,./hwmcc15/beemldfilt7b1.aig,UNKNOWN,,N/A,N/A,N/A,N/A
dme6p1neg_log.txt,dme6p1neg.aig,./hwmcc08/dme6p1neg.aig,BUG,0.06,2,0.0,3.94,0.05
cal7_log.txt,cal7.aig,./avr/industry/cal7/cal7.aig,PROVED,0.0,2,0.05,65.86,0.08
qspiflash_dualflexpress_divfive-p097_log.txt,qspiflash_dualflexpress_divfive-p097.aig,./hwmcc20/aig-1.8/qspiflash_dualflexpress_divfive-p097.aig,PROVED,0.0,25,0.2,61.4,0.33
139443p22_log.txt,139443p22.aig,./hwmcc08/139443p22.aig,BUG,6.63,4,3.28,49.54,6.62
oc8051gm43acc_log.txt,oc8051gm43acc.aig,./hwmcc1517/oc8051gm43acc.aig,UNKNOWN,,N/A,N/A,N/A,N/A
pdtvisvsar26_log.txt,pdtvisvsar26.aig,./hwmcc08/pdtvisvsar26.aig,PROVED,0.0,2,0.0,1.43,0.02
bobsynth06neg_log.txt,bobsynth06neg.aig,./hwmcc11/single/bobsynth06neg.aig,BUG,6.8,31,5.05,74.43,6.78
shift_register_top_w128_d64_e0_log.txt,shift_register_top_w128_d64_e0.aig,./hwmcc1920ns/shift_register_top_w128_d64_e0.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s343b08_log.txt,6s343b08.aig,./hwmcc-appr/6s343b08.aig,PROVED,0.27,18,137.85,58.87,234.16
yosyshq_appnote_123_cv32e40x-p463_log.txt,yosyshq_appnote_123_cv32e40x-p463.aig,./hwmcc24/2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p463.aig,PROVED,0.04,16,29.61,75.35,39.3
qspiflash_qflexpress_divfive-p017_log.txt,qspiflash_qflexpress_divfive-p017.aig,./hwmcc20/aig-1.8/qspiflash_qflexpress_divfive-p017.aig,PROVED,0.0,4,0.0,10.7,0.02
pdtvisheap06_log.txt,pdtvisheap06.aig,./hwmcc08/pdtvisheap06.aig,PROVED,0.0,2,0.0,1.38,0.01
oski15a01b18s_log.txt,oski15a01b18s.aig,./hwmcc15/oski15a01b18s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
